date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:25	50/50	---MCZ	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2012:24:24%20GMT	https://demo.casethemes.net/robots.txt		(from )
17:54:26	171571/171571	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2012:24:24%20GMT	https://demo.casethemes.net/timan/	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/index.html	(from )
17:54:28	88932/88932	---MCZ	200	added ('OK')	text/css	etag:W/%2262e29945-15b64%22	https://demo.casethemes.net/timan/wp-includes/css/dist/block-library/style.min.css?ver=6.0.3	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-includes/css/dist/block-library/style.min1eb7.css	(from https://demo.casethemes.net/timan/)
17:54:28	21241/21241	---MC-	200	added ('OK')	application/rss+xml	etag:%22133912b174ed6d30adaccb426310f74c%22	https://demo.casethemes.net/timan/feed/	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/feed/index.html	(from https://demo.casethemes.net/timan/)
17:54:28	4927/4927	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f8-133f%22	https://demo.casethemes.net/timan/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.min.css?ver=6.9.0	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.mine1b2.css	(from https://demo.casethemes.net/timan/)
17:54:29	209364/209364	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f8-331d4%22	https://demo.casethemes.net/timan/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.min.css?ver=6.9.0	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.mine1b2.css	(from https://demo.casethemes.net/timan/)
17:54:29	7360/7360	---MC-	200	added ('OK')	application/rss+xml	etag:%22133912b174ed6d30adaccb426310f74c%22	https://demo.casethemes.net/timan/comments/feed/	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/comments/feed/index.html	(from https://demo.casethemes.net/timan/)
17:54:30	10999/10999	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f7-2af7%22	https://demo.casethemes.net/timan/wp-content/plugins/booked/assets/css/booked-icons.min.css?ver=2.3.5	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/booked/assets/css/booked-icons.min25b6.css	(from https://demo.casethemes.net/timan/)
17:54:31	7018/7018	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f7-1b6a%22	https://demo.casethemes.net/timan/wp-content/plugins/booked/assets/js/tooltipster/css/booked-tooltipster.min.css?ver=3.3.0	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/booked/assets/js/tooltipster/css/booked-tooltipster.min9b70.css	(from https://demo.casethemes.net/timan/)
17:54:31	325/325	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f7-145%22	https://demo.casethemes.net/timan/wp-content/plugins/booked/assets/js/tooltipster/css/themes/booked-tooltipster-theme.min.css?ver=3.3.0	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/booked/assets/js/tooltipster/css/themes/booked-tooltipster-theme.min9b70.css	(from https://demo.casethemes.net/timan/)
17:54:32	2960/2960	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f7-b90%22	https://demo.casethemes.net/timan/wp-content/plugins/booked/assets/css/booked-animations.min.css?ver=2.3.5	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/booked/assets/css/booked-animations.min25b6.css	(from https://demo.casethemes.net/timan/)
17:54:32	67476/67476	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f7-10794%22	https://demo.casethemes.net/timan/wp-content/plugins/booked/dist/booked-css.min.css?ver=2.3.5	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/booked/dist/booked-css.min25b6.css	(from https://demo.casethemes.net/timan/)
17:54:33	2221/2221	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f8-8ad%22	https://demo.casethemes.net/timan/wp-content/plugins/contact-form-7/includes/css/contact-form-7.min.css?ver=5.5.6	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/contact-form-7/includes/css/contact-form-7.min5406.css	(from https://demo.casethemes.net/timan/)
17:54:33	575/575	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f8-23f%22	https://demo.casethemes.net/timan/wp-content/plugins/ctcore/assets/css/cms-plugin-stylesheet.min.css?ver=6.0.3	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/ctcore/assets/css/cms-plugin-stylesheet.min1eb7.css	(from https://demo.casethemes.net/timan/)
17:54:34	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f8-b78%22	https://demo.casethemes.net/timan/wp-content/plugins/ctcore/assets/css/owl.carousel.min.css?ver=6.0.3	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/ctcore/assets/css/owl.carousel.min1eb7.css	(from https://demo.casethemes.net/timan/)
17:54:34	49769/49769	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f8-c269%22	https://demo.casethemes.net/timan/wp-content/plugins/revslider/public/assets/css/rs-plugin-settings.min.css?ver=6.4.11	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/revslider/public/assets/css/rs-plugin-settings.mine434.css	(from https://demo.casethemes.net/timan/)
17:54:35	17809/17809	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f8-4591%22	https://demo.casethemes.net/timan/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.min.css?ver=6.3.1	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.min9b30.css	(from https://demo.casethemes.net/timan/)
17:54:36	7042/7042	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f8-1b82%22	https://demo.casethemes.net/timan/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.min.css?ver=6.3.1	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.min9b30.css	(from https://demo.casethemes.net/timan/)
17:54:36	62691/62691	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f8-f4e3%22	https://demo.casethemes.net/timan/wp-content/plugins/woocommerce/assets/css/woocommerce-general.min.css?ver=6.3.1	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/woocommerce/assets/css/woocommerce-general.min9b30.css	(from https://demo.casethemes.net/timan/)
17:54:37	73340/73340	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f8-11e7c%22	https://demo.casethemes.net/timan/wp-content/plugins/wp-user-avatar/assets/css/frontend.min.css?ver=3.2.9	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/wp-user-avatar/assets/css/frontend.minc092.css	(from https://demo.casethemes.net/timan/)
17:54:37	15954/15954	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f8-3e52%22	https://demo.casethemes.net/timan/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.css?ver=3.2.9	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.minc092.css	(from https://demo.casethemes.net/timan/)
17:54:38	14965/14965	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f8-3a75%22	https://demo.casethemes.net/timan/wp-content/plugins/wp-user-avatar/assets/select2/select2.min.css?ver=6.0.3	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/wp-user-avatar/assets/select2/select2.min1eb7.css	(from https://demo.casethemes.net/timan/)
17:54:38	127343/127343	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f7-1f16f%22	https://demo.casethemes.net/timan/wp-content/themes/timan/assets/css/bootstrap.min.css?ver=4.0.0	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/themes/timan/assets/css/bootstrap.mincce7.css	(from https://demo.casethemes.net/timan/)
17:54:39	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f7-791c%22	https://demo.casethemes.net/timan/wp-content/themes/timan/assets/css/font-awesome.min.css?ver=4.7.0	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/themes/timan/assets/css/font-awesome.min1849.css	(from https://demo.casethemes.net/timan/)
17:54:39	34399/34399	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f8-865f%22	https://demo.casethemes.net/timan/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/v4-shims.min.css?ver=6.8.0	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/v4-shims.min8e94.css	(from https://demo.casethemes.net/timan/)
17:54:40	56425/56425	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f8-dc69%22	https://demo.casethemes.net/timan/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/all.min.css?ver=6.8.0	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/all.min8e94.css	(from https://demo.casethemes.net/timan/)
17:54:40	70815/70815	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f7-1149f%22	https://demo.casethemes.net/timan/wp-content/themes/timan/assets/css/material-design-iconic-font.min.css?ver=2.2.0	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/themes/timan/assets/css/material-design-iconic-font.min3601.css	(from https://demo.casethemes.net/timan/)
17:54:41	3291/3291	---MCZ	200	added ('OK')	text/css	etag:W/%22622f00f7-cdb%22	https://demo.casethemes.net/timan/wp-content/themes/timan/assets/css/flaticon.min.css?ver=1.0.0	C:/Users/dell/Desktop/barath/medical3/demo.casethemes.net/timan/wp-content/themes/timan/assets/css/flaticon.min8a54.css	(from https://demo.casethemes.net/timan/)
